GEO_ID,Management occupations_telework_weighted,Business and financial operations occupations_telework_weighted,Computer and mathematical occupations_telework_weighted,Architecture and engineering occupations_telework_weighted,"Life, physical, and social science occupations_telework_weighted",Community and social service occupations_telework_weighted,Legal occupations_telework_weighted,"Arts, design, entertainment, sports, and media occupations_telework_weighted",Healthcare practitioners and technical occupations_telework_weighted,Healthcare support occupations_telework_weighted,Protective service occupations_telework_weighted,Food preparation and serving related occupations_telework_weighted,Building and grounds cleaning and maintenance occupations_telework_weighted,Personal care and service occupations_telework_weighted,Sales and related occupations_telework_weighted,Office and administrative support occupations_telework_weighted,"Farming, fishing, and forestry occupations_telework_weighted",Construction and extraction occupations_telework_weighted,"Installation, maintenance, and repair occupations_telework_weighted",Production occupations_telework_weighted,teleworker_estimate,total_workers,telework_score
17149,432.10714285714283,156.8,42.0,21.257142857142856,8.633333333333333,59.0,6.125,15.69767441860465,47.16279069767442,26.333333333333332,18.20689655172414,17.058823529411764,0.0,33.5,299.0,570.0,14.352941176470589,7.606557377049181,5.185185185185185,23.603603603603602,1803.630424920676,6935.0,0.26007648520846083
17151,60.785714285714285,32.800000000000004,0.0,0.0,0.0,27.5,0.0,0.0,1.4883720930232558,4.222222222222222,0.9655172413793103,7.529411764705882,0.0,15.5,31.958333333333332,68.15873015873015,0.6470588235294118,1.9016393442622952,0.8333333333333333,6.891891891891891,261.1822244921254,1267.0,0.20614224506087245
17153,115.625,28.8,0.0,3.5428571428571427,1.2333333333333334,20.5,11.375,0.627906976744186,8.55813953488372,24.888888888888886,7.310344827586206,5.9411764705882355,0.0,9.25,36.83333333333333,132.69841269841268,1.5294117647058822,1.9016393442622952,0.6296296296296295,5.675675675675675,416.9207496209012,1863.0,0.2237899890611386
17155,175.75,67.2,76.0,26.128571428571426,1.2333333333333334,21.5,44.625,15.069767441860465,18.97674418604651,16.444444444444443,6.068965517241379,7.588235294117647,0.0,21.25,102.375,143.55555555555554,1.0,2.8688524590163937,3.8703703703703702,14.414414414414413,765.9192544449718,2993.0,0.25590352637653585
17157,681.1964285714286,301.6,130.0,24.799999999999997,25.900000000000002,83.0,44.625,62.7906976744186,63.25581395348837,55.11111111111111,74.06896551724138,39.23529411764706,0.0,55.25,577.4166666666666,890.8888888888888,3.1176470588235294,14.213114754098362,11.222222222222221,87.29729729729729,3224.989147833332,12944.0,0.24914934702049846
17159,361.4107142857143,172.0,94.0,32.77142857142857,35.766666666666666,113.5,21.0,10.674418604651162,44.27906976744186,28.777777777777775,22.344827586206897,22.235294117647058,0.0,37.5,274.0833333333333,440.9206349206349,3.8235294117647056,6.0163934426229515,5.5,37.16216216216216,1763.7662506480522,7257.0,0.24304344090506438
17161,3130.464285714286,2600.0,1781.0,454.37142857142857,163.41666666666669,555.0,401.625,586.4651162790698,299.16279069767444,294.0,198.48275862068965,248.94117647058823,0.0,571.25,3677.3749999999995,4816.349206349206,10.352941176470589,50.14754098360656,40.09259259259259,352.7927927927928,20231.28929691507,68166.0,0.2967944326631322
17163,6553.625,4900.8,4446.0,716.9857142857143,352.1166666666667,1144.5,1036.875,1033.5348837209303,688.0,514.5555555555555,418.8965517241379,421.94117647058823,0.0,832.0,6133.833333333333,9113.968253968253,13.76470588235294,85.39344262295083,69.72222222222221,337.16216216216213,38813.67466861486,118602.0,0.32725986634807896
17165,438.05357142857144,127.2,24.0,52.25714285714285,15.416666666666668,85.0,28.875,49.604651162790695,76.46511627906976,46.44444444444444,37.93103448275862,37.35294117647059,0.0,78.5,469.62499999999994,746.1269841269841,7.529411764705882,11.852459016393443,7.759259259259259,35.36036036036036,2375.354043025618,9736.0,0.24397638075448008
17167,6405.625,4947.200000000001,3622.0,577.0428571428571,489.0166666666667,1197.0,1361.5,1018.4651162790698,702.5116279069767,400.66666666666663,293.37931034482756,329.52941176470586,0.0,605.25,4934.583333333333,8116.31746031746,17.0,55.47540983606557,40.166666666666664,164.09909909909908,35276.82862602439,95308.0,0.37013502146749894
17169,181.03571428571428,29.6,19.0,6.199999999999999,4.316666666666666,26.0,4.375,6.906976744186046,20.093023255813954,16.22222222222222,14.620689655172413,8.882352941176471,0.0,12.75,148.95833333333331,224.98412698412696,3.1176470588235294,2.016393442622951,1.6481481481481481,9.81981981981982,740.5471145578268,2872.0,0.25785066662876976
17171,147.33928571428572,81.60000000000001,27.0,20.37142857142857,10.483333333333334,12.5,13.125,1.8837209302325582,12.465116279069766,14.666666666666666,4.689655172413793,4.9411764705882355,0.0,10.25,83.41666666666666,201.46031746031744,2.6470588235294117,1.6065573770491803,2.574074074074074,8.558558558558557,661.5786160982138,2343.0,0.2823638993163525
17173,638.9107142857142,176.0,53.0,29.228571428571428,36.38333333333333,115.5,18.375,27.627906976744185,42.69767441860465,42.0,29.517241379310345,39.0,0.0,104.0,407.875,668.9206349206349,5.823529411764706,9.98360655737705,9.296296296296296,52.2972972972973,2506.4368063056486,10347.0,0.24223802129174143
