fips,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april
36063,-39.0604729489652,4.918157208996377,-599.4655322862129,15.95796676441838,25.184596049940307
36065,-15.613829524280343,0.5423768115941959,-468.1810699588479,16.985992025687167,21.661906502006705
36067,-26.847887417438386,-0.9776667041072264,-792.9763739085772,18.67798030588728,28.154539321782085
36069,-51.01519267531947,-9.20219115119635,-621.0392569225377,18.287259401572566,30.55896863454865
36071,-51.307693464109825,10.180838535869258,-1369.8371146015124,20.913811007268944,37.81926321613718
36073,-13.71563391370961,0.9655632301987359,-334.79498124434093,14.617826353569244,14.306487340381993
36075,-27.637119788403947,-6.9627242068821245,-326.76107480029043,15.697127559510887,19.771954845670347
36077,-21.04580389155402,-9.360188059739635,-232.4314574314575,15.333484831269168,8.896181903626788
36079,-44.932276517537915,13.647702374607688,-2337.7192982456145,22.606310013717447,42.45506908879363
36081,-53.639944676902594,23.801330580408333,-7314.232209737828,19.834936225359794,44.853977754092334
36083,-33.522417505244,0.5482391961759886,-590.84069349035,19.376289026385045,26.77149390835455
36085,-44.03372182786997,25.160187628796944,-7994.290123456792,20.21690198485778,52.78550498602211
36087,-51.821586291101475,13.401283725234192,-2395.4907161803712,23.08909528723771,48.70482910311012
36089,-45.830248524693815,-15.071036181094918,-138.14432989690724,8.40850999849647,-2.919265432331428
36091,-43.680589739587695,3.241019203779742,-966.5448343079921,19.131553330552098,35.021328913206375
36093,-28.56855830160313,2.4837409727486643,-794.8873702860036,18.296760710553816,25.10163399488135
36095,-42.18188493501886,-56.90805291088557,-170.39687082617823,7.45758073344282,-3.594639421504579
36097,-40.35321111250562,-25.439182501979396,-167.58196039274412,0.3418169837739973,-0.29337121040884434
36099,-22.313970777483373,-17.91750247861473,-251.52896486229815,14.619422572178475,20.095317035015274
36101,-33.69751226684596,1.3704035634505483,-396.8205128205129,16.40925945926486,23.98456209903332
36103,-29.998449874580757,17.109755211738204,-2081.204111600587,21.788651457279535,49.6656208038373
36105,-27.99451217627182,-4.988430340478539,-344.25264012997565,14.505070188733718,13.594154684685423
36107,-21.9017094017094,-4.205694102954382,-356.2040332147095,15.30412034009156,18.146256215598836
36109,-24.618577415173345,12.127947076531381,-639.0039447731754,22.72085055278868,28.38699600287874
36111,-45.075061146256466,-0.8926593718158727,-429.4323144104804,16.59130871640292,22.323899256836807
