,telework_score,percent_freq_or_always_mask_use,percent_republican_2016_pres,population_total,percent_uninsured,percent_below_poverty_line,percent_households_more_people_than_rooms,percent_racial_minority,percent_without_high_school_diploma,percent_over_65,population_density,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april,start_date,end_date,num_days,starting_cases_100k,ending_cases_100k,net_cases,avg_new_cases
41039,0.32381851805160405,0.8560000000000001,0.3497837978640271,368882,7.6,18.5,2.5,17.9,8.6,18.3,80.95547359631287,-1.6044666089870059,-0.2574696125980753,-338.9606892837912,13.486492235694532,22.000241109045806,2020-11-22,2020-12-19,27,1023.2,1649.97,626.77,23.213703703703704
41041,0.2950866844403941,0.941,0.39748970541653467,47881,9.9,16.7,2.2,17.4,9.4,27.1,48.838285958333614,-37.66964008138412,-0.5725074608685067,-299.753086419753,9.377429156950043,12.356916794216358,2020-07-26,2020-10-17,83,782.75,1044.35,261.5999999999999,3.1518072289156613
41043,0.29383892273016143,0.8230000000000001,0.5703094398746573,122870,7.1,14.4,3.0,14.6,10.1,17.9,53.722395841391794,-30.943899562247182,0.9034753492668434,-276.3367830961622,12.348353552859617,20.751831066493555,2020-11-22,2020-12-19,27,1007.61,1841.69,834.08,30.891851851851854
41045,0.2502818808414381,0.511,0.68941063727839,30431,9.6,23.0,5.5,38.6,19.1,16.1,3.0776602154546917,-44.50465157335586,-24.829570444216383,-72.04920492049204,4.5854444051686984,2.111002099846651,2020-08-23,2020-12-19,118,3409.84,8986.58,5576.74,47.26050847457627
41047,0.3092737027228332,0.906,0.46314674071908796,335553,8.5,15.2,4.8,34.2,14.7,15.0,284.23414267638793,-8.067553139862175,-0.15493813401165335,-282.99974823766377,12.919259100336115,20.480248047883816,2020-11-22,2020-12-19,27,2449.94,3634.13,1184.19,43.85888888888889
41049,0.22969504724119635,0.8869999999999999,0.6529877609791217,11215,9.8,15.5,8.8,40.1,24.7,14.8,5.5231929118934335,-9.526403812744716,-84.79393939393937,-38.58927050808972,-8.031694579506592,3.3621142252906786,2020-08-02,2020-10-03,62,2689.55,4591.7,1902.1499999999996,30.679838709677412
41051,0.3760078049329812,0.9159999999999999,0.17026682335136545,798647,7.1,15.1,3.6,30.0,8.7,12.6,1852.5554841668811,-12.360567456145167,4.7497103835131975,-761.007882882883,16.874696622980377,24.9729385265986,2020-07-26,2020-12-19,146,487.94,2855.19,2367.25,16.214041095890412
41053,0.3239500800672285,0.887,0.4700335029159946,81427,6.3,14.1,2.1,21.6,9.6,17.2,109.89936455923416,-48.66134630525665,-1.485965179432532,-292.6384364820846,14.172213871591149,25.557880591901004,2020-11-22,2020-12-19,27,1265.7,2078.59,812.8900000000001,30.107037037037042
41055,0.28374326170962355,0.9309999999999999,0.7197640117994101,1605,12.8,13.1,0.1,8.2,8.6,25.7,1.9487281418160936,-52.592903959350565,-17.194544313188363,-54.954954954954935,-7.385638782576994,10.554756487574991,2020-11-22,2020-12-19,27,1400.73,1766.14,365.4100000000001,13.533703703703706
41057,0.2634096552633299,0.7440000000000001,0.4736651452582772,26076,7.4,15.0,3.4,15.5,9.7,24.4,23.654518153301453,-40.27871935176666,1.9781457541724456,-178.55241605241605,8.992555103238367,11.579080817975225,2020-11-22,2020-12-19,27,420.63,958.73,538.1,19.92962962962963
41059,0.25475990357613104,0.865,0.6181469000253651,76898,7.7,18.1,6.2,33.6,17.8,14.9,23.91517755941105,-10.415164170426381,-9.721372020894554,-131.18945868945866,10.190422322775248,9.044638830201439,2020-08-02,2020-09-26,55,2587.87,3840.32,1252.4500000000003,22.771818181818187
